source;target;regex;http_code
^/10_[^/]*$;/auteur/fanny-leblond;1;301
^/11_[^/]*$;/auteur/leon-mazzella-di-bosco;1;301
^/12_[^/]*$;/auteur/fabienne-thomas;1;301
^/13_[^/]*$;/auteur/marie-laure-hubert-nasser;1;301
^/14_[^/]*$;/auteur/pascale-dewambrechies;1;301
^/15_[^/]*$;/auteur/chantal-detcherry;1;301
^/16_[^/]*$;/auteur/jacques-durand;1;301
^/17_[^/]*$;/auteur/francis-poustis;1;301
^/18_[^/]*$;/auteur/bernard-carrere;1;301
^/19_[^/]*$;/auteur/marc-dubos;1;301
^/1_[^/]*$;/auteur/jean-roger-soubiran;1;301
^/20_[^/]*$;/auteur/cathy-mazzer;1;301
^/22_[^/]*$;/auteur/john-hirvois;1;301
^/23_[^/]*$;/auteur/ken-wong-youk-kong;1;301
^/24_[^/]*$;/auteur/francette-candau;1;301
^/25_[^/]*$;/auteur/alain-laborde;1;301
^/26_[^/]*$;/auteur/veronique-sauquere-hubert;1;301
^/27_[^/]*$;/auteur/cyrille-vidal;1;301
^/28_[^/]*$;/auteur/philippe-valliez;1;301
^/32_[^/]*$;/auteur/fabrice-sluys;1;301
^/33_[^/]*$;/auteur/bernard-dussarrat;1;301
^/34_[^/]*$;/auteur/ardua;1;301
^/35_[^/]*$;/auteur/philippe-salvat;1;301
^/36_[^/]*$;/auteur/elisabeth-rollin;1;301
^/37_[^/]*$;/auteur/michel-barriere;1;301
^/38_[^/]*$;/auteur/florence-d-oria;1;301
^/39_[^/]*$;/auteur/blaise-volckaert;1;301
^/3_[^/]*$;/auteur/bertrand-caritey;1;301
^/40_[^/]*$;/auteur/jean-marc-benedetti;1;301
^/41_[^/]*$;/auteur/sebastien-carnet;1;301
^/42_[^/]*$;/auteur/regis-guichenducq;1;301
^/45_[^/]*$;/auteur/patrick-azzurra;1;301
^/46_[^/]*$;/auteur/patrice-larrosa;1;301
^/47_[^/]*$;/auteur/sylvie-cazaban;1;301
^/48_[^/]*$;/auteur/mary-luce-pla;1;301
^/49_[^/]*$;/auteur/marc-large;1;301
^/50_[^/]*$;/auteur/bernard-housseau;1;301
^/51_[^/]*$;/auteur/maite-lafitte;1;301
^/54_[^/]*$;/auteur/charlotte-canat;1;301
^/55_[^/]*$;/auteur/jean-michel-lafon;1;301
^/56_[^/]*$;/auteur/thibault-toulemonde;1;301
^/57_[^/]*$;/auteur/fabrice-lafourcade;1;301
^/58_[^/]*$;/auteur/serge-collinet;1;301
^/59_[^/]*$;/auteur/jean-michel-cormary;1;301
^/5_[^/]*$;/auteur/laurent-deloye;1;301
^/60_[^/]*$;/auteur/frederic-sudupe;1;301
^/61_[^/]*$;/auteur/stephanie-locatelli;1;301
^/62_[^/]*$;/auteur/richard-arnaudin;1;301
^/63_[^/]*$;/auteur/philippe-valliez;1;301
^/64_[^/]*$;/auteur/patrice-mariolan;1;301
^/65_[^/]*$;/auteur/marc-large;1;301
^/66_[^/]*$;/auteur/david-dupouy;1;301
^/67_[^/]*$;/auteur/gilles-vincent;1;301
^/68_[^/]*$;/auteur/benjamin-ferret-et-les-photographes;1;301
^/69_[^/]*$;/auteur/antony-soron;1;301
^/6_[^/]*$;/auteur/jean-louis-le-breton;1;301
^/70_[^/]*$;/auteur/bertrand-lucq;1;301
^/71_[^/]*$;/auteur/jean-darot;1;301
^/72_[^/]*$;/auteur/patrick-fort;1;301
^/73_[^/]*$;/auteur/mathilde-de-telossie;1;301
^/74_[^/]*$;/auteur/richard-escot;1;301
^/75_[^/]*$;/auteur/tang-loaec;1;301
^/76_[^/]*$;/auteur/sophie-chaussade;1;301
^/77_[^/]*$;/auteur/david-dupouy;1;301
^/78_[^/]*$;/auteur/marc-large;1;301
^/79_[^/]*$;/auteur/christophe-chay;1;301
^/7_[^/]*$;/auteur/martine-lafon-baillou;1;301
^/80_[^/]*$;/auteur/jean-tucoo-chala;1;301
^/81_[^/]*$;/auteur/alice-minier;1;301
^/82_[^/]*$;/auteur/charlie-tastet;1;301
^/8_[^/]*$;/auteur/christiane-audy-baudouin;1;301
^/9_[^/]*$;/auteur/marie-francoise-raillard;1;301
^/43_[^/]*$;/auteur/jean-michel-cormary;1;301
^/44_[^/]*$;/auteur/jean-michel-lafon;1;301
^/52_[^/]*$;/auteur/jean-francois-blanc;1;301
^/53_[^/]*$;/auteur/thibault-toulemonde;1;301
^/83_[^/]*$;/auteur/francoise-guillaumond;1;301
