source;target;regex;http_code
^/tauromachie/9-[^/]*\.html$;/livre/histoire-dune-corrida-triomphale;1;301
^/tauromachie/10-[^/]*\.html$;/livre/une-corrida-pour-lhistoire;1;301
^/romans/13-[^/]*\.html$;/livre/de-jerome-a-lidoire;1;301
^/romans/14-[^/]*\.html$;/livre/lirreversible-apprentissage-de-penelope;1;301
^/romans/15-[^/]*\.html$;/livre/la-sainte-raingarde;1;301
^/romans/16-[^/]*\.html$;/livre/et-au-bout-locean;1;301
^/romans/17-[^/]*\.html$;/livre/chasses-furtives;1;301
^/romans/18-[^/]*\.html$;/livre/demain-ne-suffit-pas;1;301
^/romans/19-[^/]*\.html$;/livre/lenfant-roman;1;301
^/romans/20-[^/]*\.html$;/livre/la-carapace-de-la-tortue;1;301
^/romans/21-[^/]*\.html$;/livre/leffacement;1;301
^/romans/22-[^/]*\.html$;/livre/spleen-machine;1;301
^/romans/23-[^/]*\.html$;/livre/la-vie-plus-un-chat;1;301
^/romans/24-[^/]*\.html$;/livre/inventer-le-jour;1;301
^/romans/25-[^/]*\.html$;/livre/le-libre-choix-de-clara-weiss;1;301
^/tauromachie/26-[^/]*\.html$;/livre/gueules-de-toreros;1;301
^/tauromachie/27-[^/]*\.html$;/livre/nicolas-vergonzeanne-toujours-plus-haut;1;301
^/tauromachie/28-[^/]*\.html$;/livre/regarder-pour-reconnaitre-un-taureau-de-combat;1;301
^/sport/29-[^/]*\.html$;/livre/latlantique-en-54-jours;1;301
^/art/30-[^/]*\.html$;/livre/landes-de-terre-et-deaux;1;301
^/voyage-tourisme/31-[^/]*\.html$;/livre/bordeaux-a-velo;1;301
^/voyage-tourisme/32-[^/]*\.html$;/livre/paris-a-velo;1;301
^/voyage-tourisme/33-[^/]*\.html$;/livre/rome-a-velo;1;301
^/voyage-tourisme/34-[^/]*\.html$;/livre/berlin-a-velo;1;301
^/culture-sud-ouest/35-[^/]*\.html$;/livre/bordeaux-by-bike;1;301
^/voyage-tourisme/36-[^/]*\.html$;/livre/paris-by-bike;1;301
^/culture-sud-ouest/37-[^/]*\.html$;/livre/automne-bleu;1;301
^/art/38-[^/]*\.html$;/livre/comme-une-ombre-dans-la-ville;1;301
^/art/39-[^/]*\.html$;/livre/alex-lizal-peintre-singulier-du-pays-landais;1;301
^/art/40-[^/]*\.html$;/livre/flamenco-pulsion;1;301
^/sport/42-[^/]*\.html$;/livre/les-acteurs-du-basket-landais;1;301
^/tauromachie/44-[^/]*\.html$;/livre/les-acteurs-de-la-course-landaise;1;301
^/humour/45-[^/]*\.html$;/livre/tu-veux-un-drink;1;301
^/humour/46-[^/]*\.html$;/livre/ques-aquo;1;301
^/humour/47-[^/]*\.html$;/livre/ho-les-coeurs;1;301
^/presence-de-l-ecrivain/48-[^/]*\.html$;/livre/eric-emmanuel-schmitt-la-chair-et-linvisible;1;301
^/sport/49-[^/]*\.html$;/livre/les-acteurs-du-rugby-landais-deuxieme-edition;1;301
^/romans/50-[^/]*\.html$;/livre/morandouna-le-pays-den-haut;1;301
^/presence-de-l-ecrivain/51-[^/]*\.html$;/livre/amin-maalouf-heurs-et-malheurs-de-la-filiation;1;301
^/tauromachie/52-[^/]*\.html$;/livre/dax-en-habit-de-lumieres-chroniques-taurines-1990-2015;1;301
^/romans/53-[^/]*\.html$;/livre/voir-ailleurs-qui-je-suis;1;301
^/art/54-[^/]*\.html$;/livre/les-glycines;1;301
^/art/55-[^/]*\.html$;/livre/sables;1;301
^/art/56-[^/]*\.html$;/livre/dax-soixante-dix;1;301
^/romans/57-[^/]*\.html$;/livre/juste-la-lumiere;1;301
^/romans/58-[^/]*\.html$;/livre/les-pieds-dans-le-vide;1;301
^/presence-de-l-ecrivain/59-[^/]*\.html$;/livre/michel-suffran-les-voix-de-la-memoire;1;301
^/tauromachie/60-[^/]*\.html$;/livre/observer-pour-comprendre-un-taureau-de-combat;1;301
^/tauromachie/61-[^/]*\.html$;/livre/tabaco-y-oro;1;301
^/romans/63-[^/]*\.html$;/livre/les-equilibristes;1;301
^/romans/64-[^/]*\.html$;/livre/semblant-sortir-du-noir;1;301
^/art/65-[^/]*\.html$;/livre/anglet;1;301
^/sport/66-[^/]*\.html$;/livre/parents-de-rugbyman-heureux;1;301
^/romans/67-[^/]*\.html$;/livre/moi-et-les-miens;1;301
^/grands-caractères/68-[^/]*\.html$;/livre/chasses-furtives-grands-caracteres;1;301
^/grands-caractères/69-[^/]*\.html$;/livre/leffacement-grands-caracteres;1;301
^/grands-caractères/70-[^/]*\.html$;/livre/la-carapace-de-la-tortue-grands-caracteres;1;301
^/grands-caractères/71-[^/]*\.html$;/livre/la-vie-plus-un-chat-grands-caracteres;1;301
^/grands-caractères/72-[^/]*\.html$;/livre/lenfant-roman-grands-caracteres;1;301
^/sport/73-[^/]*\.html$;/livre/parents-de-rugbyman-heureux-les-cadets;1;301
^/tauromachie/74-[^/]*\.html$;/livre/la-course-landaise-a-une-histoire;1;301
^/culture-sud-ouest/75-[^/]*\.html$;/livre/marcus-et-peritas;1;301
^/livre-audio/77-[^/]*\.html$;/livre/la-carapace-de-la-tortue;1;301
^/presence-de-l-ecrivain/78-[^/]*\.html$;/livre/sylvie-germain-lart-detre-au-monde;1;301
^/romans/79-[^/]*\.html$;/livre/la-jeune-fille-et-le-fleuve;1;301
^/romans/80-[^/]*\.html$;/livre/garder-le-lien;1;301
^/grands-caractères/82-[^/]*\.html$;/livre/morandouna-le-pays-den-haut-grands-caracteres;1;301
^/grands-caractères/83-[^/]*\.html$;/livre/inventer-le-jour-grands-caracteres;1;301
^/art/84-[^/]*\.html$;/livre/gens-des-arbres;1;301
^/grands-caractères/86-[^/]*\.html$;/livre/juste-la-lumiere-grands-caracteres;1;301
^/romans/87-[^/]*\.html$;/livre/efcharisto;1;301
^/romans/88-[^/]*\.html$;/livre/histoires-a-lire-au-crepuscule;1;301
^/sport/89-[^/]*\.html$;/livre/gueules-dovalie-nations-de-rugby;1;301
^/grands-caractères/90-[^/]*\.html$;/livre/les-pieds-dans-le-vide-grands-caracteres;1;301
^/grands-caractères/91-[^/]*\.html$;/livre/semblant-sortir-du-noir-grands-caracteres;1;301
^/culture-sud-ouest/92-[^/]*\.html$;/livre/la-folle-histoire-de-felix-arnaudin;1;301
^/romans/93-[^/]*\.html$;/livre/la-fuite-ditalie;1;301
^/grands-caractères/94-[^/]*\.html$;/livre/la-jeune-fille-et-le-fleuve-grands-caracteres;1;301
^/art/95-[^/]*\.html$;/livre/landes-de-lumieres;1;301
^/art/96-[^/]*\.html$;/livre/syriens-en-regards;1;301
^/presence-de-l-ecrivain/97-[^/]*\.html$;/livre/francois-cheng-ecriture-et-quete-de-sens;1;301
^/romans/98-[^/]*\.html$;/livre/les-helianthes;1;301
^/grands-caractères/99-[^/]*\.html$;/livre/efcharisto-grands-caracteres;1;301
^/grands-caractères/100-[^/]*\.html$;/livre/la-fuite-ditalie-grands-caracteres;1;301
^/sport/101-[^/]*\.html$;/livre/rugby-au-coeur-les-braqueboys;1;301
^/sport/102-[^/]*\.html$;/livre/comprendre-le-rugby;1;301
^/litterature/103-[^/]*\.html$;/livre/tete-a-tete-avec-la-dame-de-brassempouy;1;301
^/romans/104-[^/]*\.html$;/livre/les-petits-pas-dabeille;1;301
^/tauromachie/105-[^/]*\.html$;/livre/mathieu-nogues-vaincre-ou-mourir;1;301
^/litterature/106-[^/]*\.html$;/livre/concours-de-nouvelles-2019;1;301
^/art/107-[^/]*\.html$;/livre/felix-arnaudin-100-ans-apres;1;301
^/romans/108-[^/]*\.html$;/livre/beaux-habitants-de-lunivers;1;301
^/litterature/109-[^/]*\.html$;/livre/rencontre-avec-chantal-detcherry;1;301
^/grands-caractères/110-[^/]*\.html$;/livre/les-helianthes-grands-caracteres;1;301
^/romans/111-[^/]*\.html$;/livre/on-reve-on-vit-on-aime;1;301
^/romans/112-[^/]*\.html$;/livre/le-bruissement-du-monde;1;301
^/litterature/113-[^/]*\.html$;/livre/concours-de-nouvelles-2020;1;301
^/art/114-[^/]*\.html$;/livre/le-coup-de-crayon-de-2020;1;301
^/romans/115-[^/]*\.html$;/livre/toi-qui-que-tu-sois;1;301
^/romans/116-[^/]*\.html$;/livre/en-amont;1;301
^/litterature/117-[^/]*\.html$;/livre/lettres-a-bernard-manciet;1;301
^/presence-de-l-ecrivain/118-[^/]*\.html$;/livre/alain-vircondelet-exil-memoire-et-quete;1;301
^/tauromachie/119-[^/]*\.html$;/livre/les-elevages-de-taureaux-braves-genese-et-evolution;1;301
^/romans/121-[^/]*\.html$;/livre/rien-ne-vaut-ce-jour;1;301
^/culture-sud-ouest/122-[^/]*\.html$;/livre/le-monge-autrefois;1;301
^/art/123-[^/]*\.html$;/livre/plumes;1;301
^/art/124-[^/]*\.html$;/livre/entre-lande-et-ciel;1;301
^/grands-caractères/125-[^/]*\.html$;/livre/histoires-a-lire-au-crepuscule-grands-caracteres;1;301
^/litterature/126-[^/]*\.html$;/livre/concours-de-nouvelles-2021;1;301
^/sport/128-[^/]*\.html$;/livre/villes-dovalie-hommages-chambrages;1;301
^/litterature/129-[^/]*\.html$;/livre/le-retour-de-la-suite;1;301
^/grands-caractères/130-[^/]*\.html$;/livre/toi-qui-que-tu-sois-grands-caracteres;1;301
^/tauromachie/131-[^/]*\.html$;/livre/ironda-reine-des-arenes;1;301
^/presence-de-l-ecrivain/132-[^/]*\.html$;/livre/tahar-ben-jelloun-histoire-racines-mythes;1;301
^/romans/133-[^/]*\.html$;/livre/approcher-les-etoiles;1;301
^/tauromachie/134-[^/]*\.html$;/livre/ironda-a-colorier;1;301
^/litterature/135-[^/]*\.html$;/livre/jean-cassaigne-au-service-des-oublies;1;301
^/romans/136-[^/]*\.html$;/livre/geographie-dun-pere;1;301
^/accueil/137-[^/]*\.html$;/livre/riches-heures;1;301
^/sport/138-[^/]*\.html$;/livre/memoires-du-rugby-a-lancienne;1;301
^/accueil/139-[^/]*\.html$;/livre/saisons-de-sable;1;301
